"product_name","description","initial_price","final_price","currency","in_stock","color","size","reviews_count","country_code","domain","image_count","model_number","product_id","rating","root_category","category","brand","discount_rate"
"1PC Retro Resin Telephone Figurine Piggy Bank Vintage Coin Bank Phone Birthday Gift Coffee Shop Decor(17CM*14.5CM*16CM)","Free Returns ✓ Free Shipping✓. 1PC Retro Resin Telephone Figurine Piggy Bank Vintage Coin Bank Phone Birthday Gift Coffee Shop Decor(17CM*14.5CM*16CM)- Decorative Crafts at SHEIN.",21.3,20.5,"USD",TRUE,"Retro Telephone","1PC",0,"US","us.shein.com",5,"sh2408141477345115",40871127,0,"Home & Living","Decorative Crafts","SHEIN",3.76
"30pcs Nail Art Decorations DIY Art Punk Style Mixed Pumpkin/Spider/Bat/Witch/Vampire 3D Three-Dimensional Nail Art Decoration Accessories Jewelry","Free Returns ✓ Free Shipping✓. 30pcs Nail Art Decorations DIY Art Punk Style Mixed Pumpkin/Spider/Bat/Witch/Vampire 3D Three-Dimensional Nail Art Decoration Accessories Jewelry- Rhinestones & Decorations at SHEIN.",2,1.7,"USD",TRUE,"Multicolor","2408-1301 (30pcs Random Styles)",0,"US","us.shein.com",13,"sb2408071793592315",40470348,0,"Beauty & Health","Rhinestones & Decorations","SHEIN",15
"Juvale Wooden Drawer Organizer With 12 Compartments, Divided Tray For Arts And Crafts Supplies, Stationery, Small Items, 12 Grid Sorting Tray, Dark Brown (13.2 X 9.2 X 1.5 Inches) Halloween Decorations Halloween Costumes Autumn Decor Festival Decor","Free Returns ✓ Free Shipping✓. Juvale Wooden Drawer Organizer With 12 Compartments, Divided Tray For Arts And Crafts Supplies, Stationery, Small Items, 12 Grid Sorting Tray, Dark Brown (13.2 X 9.2 X 1.5 Inches) Halloween Decorations Halloween Costumes Autumn Decor Festival Decor- Storage Drawers at SHEIN.",25.7,17.99,"USD",TRUE,"Brown","one-size",0,"US","us.shein.com",9,"sh2401319699492522",29874249,0,"Home & Living","Storage Drawers","SHEIN",30
"Unbeatablesale K Tool International KTI22521 3/8 Inch Drive Flex Spark Plug Socket 5/8 Inch","Free Returns ✓ Free Shipping✓. Unbeatablesale K Tool International KTI22521 3/8 Inch Drive Flex Spark Plug Socket 5/8 Inch- Sockets at SHEIN.",13.5,13.5,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"sr2408128814136664",40598697,0,"Tools & Home Improvement","Sockets","Unbeatablesale",0
"1PC Large Waterproof Makeup Bag With Handle - Travel Toiletry Organizer For Women And Girls - Spacious Cosmetic Storage For Essentials - Perfect Gift, Cruise Essentials Dorm Essentials,Wedding Bridesmaid Gifts,Mom Gifts,Birthday Gifts,Gifts For Friends And Teachers,Home Decor,Bathroom Livingroom Bedroom Decor,Bathroom Organizer,Jewelry Organizer,Lip Oil Organizer,Nail Polish Organizer Makeup Bag Storage Makeup Organizer Makeup Case","Free Returns ✓ Free Shipping✓. 1PC Large Waterproof Makeup Bag With Handle - Travel Toiletry Organizer For Women And Girls - Spacious Cosmetic Storage For Essentials - Perfect Gift, Cruise Essentials Dorm Essentials,Wedding Bridesmaid Gifts,Mom Gifts,Birthday Gifts,Gifts For Friends And Teachers,Home Decor,Bathroom Livingroom Bedroom Decor,Bathroom Organizer,Jewelry Organizer,Lip Oil Organizer,Nail Polish Organizer Makeup Bag Storage Makeup Organizer Makeup Case- Travel Glasses Bag at SHEIN.",12,11.2,"USD",TRUE,"Multicolor","Beige",0,"US","us.shein.com",13,"sg2408148001106681",40828986,0,"Bags & Luggage","Travel Glasses Bag","SHEIN",6.67
"35pcs Mixed Acrylic Body Piercing Pearl Effect, Transparent Dual Color, Matte Tongue Rings For Women, Everyday And Festival Wear","Free Returns ✓ Free Shipping✓. 35pcs Mixed Acrylic Body Piercing Pearl Effect, Transparent Dual Color, Matte Tongue Rings For Women, Everyday And Festival Wear- Women Tongue Ring at SHEIN.",6.1,4.55,"USD",TRUE,"Multi-color","one-size",0,"US","us.shein.com",6,"sj2408089294322723",40624265,0,"Jewelry & Watches","Women Tongue Ring","SHEIN",25.41
"Dolce & Gabbana 1.6oz The Only One For Women -  EDP Spray","Free Returns ✓ Free Shipping✓. Dolce & Gabbana 1.6oz The Only One For Women -  EDP Spray- Perfume at SHEIN.",98,66.74,"USD",TRUE,"Default","1.6oz",0,"US","us.shein.com",4,"sb2311114355859926",26290211,0,"Beauty & Health","Perfume","Dolce & Gabbana",31.9
"Unbeatablesale 1467 Performer Series Accelerator Pump Assembly","Free Returns ✓ Free Shipping✓. Unbeatablesale 1467 Performer Series Accelerator Pump Assembly- Car Replacement Parts at SHEIN.",35.33,35.33,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"sq2406175534514401",36997693,0,"Automotive","Car Replacement Parts","Unbeatablesale",0
"Unbeatablesale Jumbo Insulated Travel Bag","Free Returns ✓ Free Shipping✓. Unbeatablesale Jumbo Insulated Travel Bag- Men Tote Bags at SHEIN.",22.16,22.16,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"sg2408099993099724",40374435,0,"Bags & Luggage","Men Tote Bags","Unbeatablesale",0
"Jepeak Jepeak Decorative Linen Throw Pillow Covers Cushion Cases, Pack Of 4 Rustic Woven Textured Pillow Covers For Sofa Bed Couch, 18x18 Inch","Free Returns ✓ Free Shipping✓. Jepeak Jepeak Decorative Linen Throw Pillow Covers Cushion Cases, Pack Of 4 Rustic Woven Textured Pillow Covers For Sofa Bed Couch, 18x18 Inch- Cushion Cover at SHEIN.",33.6,24.2,"USD",TRUE,"Light Grey","45*45",0,"US","us.shein.com",16,"sf2408156494439848",40906414,0,"Home Textile","Cushion Cover","Jepeak",27.98
"1-Piece Rustic Style Hard  Notebook With Simple Rose Print Design","Free Returns ✓ Free Shipping✓. 1-Piece Rustic Style Hard  Notebook With Simple Rose Print Design- Notebooks at SHEIN.",4.8,4.8,"USD",TRUE,"Yellow","1pc",0,"US","us.shein.com",12,"ss2408020290613813",40248039,0,"Office & School Supplies","Notebooks","SHEIN",0
"300 Color Professional Oil Colored Pencils Artist Pencils Set Soft Series Lead For Coloring Book Sketching Drawing Art Supplies Quality Soft Core Colored Leads For Adult , Professionals And Colorists | Protected And Organized In Presentation Tin Box","Free Returns ✓ Free Shipping✓. 300 Color Professional Oil Colored Pencils Artist Pencils Set Soft Series Lead For Coloring Book Sketching Drawing Art Supplies Quality Soft Core Colored Leads For Adult , Professionals And Colorists | Protected And Organized In Presentation Tin Box- Colored Pencils at SHEIN.",79.2,79.2,"USD",TRUE,"N/A","Multicolor",0,"US","us.shein.com",6,"ss2407069260862664",38366050,0,"Office & School Supplies","Colored Pencils","SHEIN",0
"PHNIBIRD Four-Leaf Clover Zirconia Necklace, Women's Necklace, Women's Pendant Necklace, Hypoallergenic Material, Silver, Embedded Zirconia Necklace, Fashionable And Simple, Daily Commute, Daily Wear, Fashion Versatile, Daily Commute, Gift For Sister, Gift For Yourself, Gift For Sister, Birthday Gift, Graduation Gift, Holiday Gift, College Style, Casual Style, Resort Style","Free Returns ✓ Free Shipping✓. PHNIBIRD Four-Leaf Clover Zirconia Necklace, Women's Necklace, Women's Pendant Necklace, Hypoallergenic Material, Silver, Embedded Zirconia Necklace, Fashionable And Simple, Daily Commute, Daily Wear, Fashion Versatile, Daily Commute, Gift For Sister, Gift For Yourself, Gift For Sister, Birthday Gift, Graduation Gift, Holiday Gift, College Style, Casual Style, Resort Style- Fine Pendant Necklaces at SHEIN.",10.2,10.2,"USD",TRUE,"N/A","A",0,"US","us.shein.com",13,"sj2407166519650275",40291247,0,"Jewelry & Watches","Fine Pendant Necklaces","SHEIN",0
"360Pcs Hypoallergenic DIY Earring Hooks For Jewelry Earring Making Supplies Kit Gold And Silver Fish Hook Earring Set","Free Returns ✓ Free Shipping✓. 360Pcs Hypoallergenic DIY Earring Hooks For Jewelry Earring Making Supplies Kit Gold And Silver Fish Hook Earring Set- Jewelry Making Findings at SHEIN.",18.99,15.99,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",5,"sh2408235155141251",41439224,0,"Home & Living","Jewelry Making Findings","SHEIN",15.8
"1pc Tree Pattern Decorative Throw Pillow Cover (Pillow Insert Not Included), Soft & Comfortable Single-Sided Printed Cushion Cover For Bedroom, Living Room, Sofa, Party Decoration","Free Returns ✓ Free Shipping✓. 1pc Tree Pattern Decorative Throw Pillow Cover (Pillow Insert Not Included), Soft & Comfortable Single-Sided Printed Cushion Cover For Bedroom, Living Room, Sofa, Party Decoration- Cushion Cover at SHEIN.",2.5,2,"USD",TRUE,"Multicolor","45*45",0,"US","us.shein.com",4,"sf2407214537233541",39285056,0,"Home Textile","Cushion Cover","SHEIN",20
"Unbeatablesale Keeper 8874430 16 Ft. Multicolored Tie Down Strap, 3333 Lbs","Free Returns ✓ Free Shipping✓. Unbeatablesale Keeper 8874430 16 Ft. Multicolored Tie Down Strap, 3333 Lbs- Other Tool Organizers at SHEIN.",33.83,33.83,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"sr2407283601743832",39803911,0,"Tools & Home Improvement","Other Tool Organizers","Unbeatablesale",0
"1pc Unisex Brown PU Leather Cuff Bracelet With Circular Decor, Vintage Medieval Viking Warrior Cosplay Accessory Halloween","Free Returns ✓ Free Shipping✓. 1pc Unisex Brown PU Leather Cuff Bracelet With Circular Decor, Vintage Medieval Viking Warrior Cosplay Accessory Halloween- Handwear at SHEIN.",3.9,3.32,"USD",TRUE,"Brown","one-size",0,"US","us.shein.com",15,"sc2407275052122260",40178377,0,"Apparel Accessories","Handwear","SHEIN",14.87
"1PC Magic Small Hand With Magnet, Prank Props Dark Magic Toy, Simple Coin Magic,Horror Magic Funny Game Toy,Halloween Party Games Favors Activity Supplies","Free Returns ✓ Free Shipping✓. 1PC Magic Small Hand With Magnet, Prank Props Dark Magic Toy, Simple Coin Magic,Horror Magic Funny Game Toy,Halloween Party Games Favors Activity Supplies- Party Games & Activities at SHEIN.",1.7,1.67,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",9,"sh2408038446246948",40148416,0,"Home & Living","Party Games & Activities","SHEIN",1.76
"Unbeatablesale Jiallo 15120 Clock,; Thermometer & Hygrometer","Free Returns ✓ Free Shipping✓. Unbeatablesale Jiallo 15120 Clock,; Thermometer & Hygrometer- Wall Decoration at SHEIN.",89.02,89.02,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"sh2408224241486778",41299478,0,"Home & Living","Wall Decoration","Unbeatablesale",0
"Unbeatablesale Jiallo 33016 Mirrored Jewelry Organizer 3 Compartments","Free Returns ✓ Free Shipping✓. Unbeatablesale Jiallo 33016 Mirrored Jewelry Organizer 3 Compartments- Jewelry Boxes at SHEIN.",41.2,41.2,"USD",TRUE,"Red","one-size",0,"US","us.shein.com",3,"sh2408076066467366",40213716,0,"Home & Living","Jewelry Boxes","Unbeatablesale",0
"Unbeatablesale 32.25 In. W X 8.87 In. H X 1.62 In. P Architectural Accent - Legacy Center Onlay","Free Returns ✓ Free Shipping✓. Unbeatablesale 32.25 In. W X 8.87 In. H X 1.62 In. P Architectural Accent - Legacy Center Onlay- Wall Decoration at SHEIN.",46.8,46.8,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"sh2408030757154828",40120946,0,"Home & Living","Wall Decoration","Unbeatablesale",0
"1PC Silk Roses Vine Artificial Flowers Fake Green Leaf Plants Valentine's Day Bride Bouquet For Autumn Decorations Wedding Vase For Home Dining Room Bedroom Decorations, Festival Birthday Party Accessories, Outdoor Garden Decorations","Free Returns ✓ Free Shipping✓. 1PC Silk Roses Vine Artificial Flowers Fake Green Leaf Plants Valentine's Day Bride Bouquet For Autumn Decorations Wedding Vase For Home Dining Room Bedroom Decorations, Festival Birthday Party Accessories, Outdoor Garden Decorations- Artificial Flowers at SHEIN.",2.3,1.77,"USD",TRUE,"Orange","1PC",0,"US","us.shein.com",4,"sh2401060421226031",32226639,0,"Home & Living","Artificial Flowers","SHEIN",23.04
"Unbeatablesale Suntime Boston College Eagles-Football Helmet Wall Clock","Free Returns ✓ Free Shipping✓. Unbeatablesale Suntime Boston College Eagles-Football Helmet Wall Clock- Other Sports Accessories at SHEIN.",48.61,48.61,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"st2408107733371826",40525257,0,"Sports & Outdoor","Other Sports Accessories","Unbeatablesale",0
"Unbeatablesale KB CR1439 70 X 17 X 17 In. Coat Rack With Storage - Cherry","Free Returns ✓ Free Shipping✓. Unbeatablesale KB CR1439 70 X 17 X 17 In. Coat Rack With Storage - Cherry- Coat Racks at SHEIN.",175.18,175.18,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"sr2407283659646656",39806760,0,"Tools & Home Improvement","Coat Racks","Unbeatablesale",0
"Unbeatablesale Syracuse Orange Spirit Series Sportula Grill Spatula","Free Returns ✓ Free Shipping✓. Unbeatablesale Syracuse Orange Spirit Series Sportula Grill Spatula- Other Sports Accessories at SHEIN.",29.74,29.74,"USD",TRUE,"Orange","one-size",0,"US","us.shein.com",3,"st2408104633439259",40563258,0,"Sports & Outdoor","Other Sports Accessories","Unbeatablesale",0
"1PC Natural Crystal XiuYu Jade Pagoda Hand Carved Figurine Engrgy Stone Quartz Freeform Phantom Tree Carving Crafts Halloween Ornament For Gifts Home Office Desktop Decoration","Free Returns ✓ Free Shipping✓. 1PC Natural Crystal XiuYu Jade Pagoda Hand Carved Figurine Engrgy Stone Quartz Freeform Phantom Tree Carving Crafts Halloween Ornament For Gifts Home Office Desktop Decoration- Table Decorative Ornaments at SHEIN.",20.6,19.9,"USD",TRUE,"XiuYu Jade Pagoda","1pc",0,"US","us.shein.com",8,"sh2408223020390299",41321140,0,"Home & Living","Table Decorative Ornaments","SHEIN",3.4
"Sun Protective Anti UV  1pc Summer Sunscreen Breathable Ice Silk Mask, Women Skin Friendly Comfortable Sun Protection Anti-UV Mask Ski Mask,Suitable For Cycling,Riding Motorcycle And Skiing","Free Returns ✓ Free Shipping✓. Sun Protective Anti UV  1pc Summer Sunscreen Breathable Ice Silk Mask, Women Skin Friendly Comfortable Sun Protection Anti-UV Mask Ski Mask,Suitable For Cycling,Riding Motorcycle And Skiing- Cycling Mask & Scarf at SHEIN.",1.8,1.37,"USD",TRUE,"Black","one-size",0,"US","us.shein.com",10,"st2404086755597972",33000938,0,"Sports & Outdoor","Cycling Mask & Scarf","SHEIN",23.89
"144 Pieces Pizza Party Supplies Pack Decorations, Dinnerware Set With Plates, Napkins, Cups, And Cutlery (Serves 24) , Festival, Party , For Halloween Or Christmas Party","Free Returns ✓ Free Shipping✓. 144 Pieces Pizza Party Supplies Pack Decorations, Dinnerware Set With Plates, Napkins, Cups, And Cutlery (Serves 24) , Festival, Party , For Halloween Or Christmas Party- Disposable Tableware Sets at SHEIN.",38.99,23.49,"USD",TRUE,"Black","one-size",0,"US","us.shein.com",8,"sh2311106577474090",26383071,0,"Home & Living","Disposable Tableware Sets","SHEIN",39.75
"Unbeatablesale Jacks 10239 Forged 14 In. Nail Clincher","Free Returns ✓ Free Shipping✓. Unbeatablesale Jacks 10239 Forged 14 In. Nail Clincher- Horse Grooming & Bathing Supplies at SHEIN.",38.69,38.69,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"sp2407299051015575",39838054,0,"Pet Supplies","Horse Grooming & Bathing Supplies","Unbeatablesale",0
"10 Pcs Bohemian European And American Sports Headbands For Women Wide Yoga Elastic Headbands Running Headbands Sports Hair Accessories Headdresses","Free Returns ✓ Free Shipping✓. 10 Pcs Bohemian European And American Sports Headbands For Women Wide Yoga Elastic Headbands Running Headbands Sports Hair Accessories Headdresses- Hair Bands at SHEIN.",7.8,7.5,"USD",TRUE,"Multicolor Five","one-size",0,"US","us.shein.com",21,"sc2406171883010531",37229759,0,"Apparel Accessories","Hair Bands","SHEIN",3.85
"Synthetic African Fluffy Drawstring Ponytail Hair Extensions For Women Short African Curling Clip Curly Drawstring Bun (1B )","Free Returns ✓ Free Shipping✓. Synthetic African Fluffy Drawstring Ponytail Hair Extensions For Women Short African Curling Clip Curly Drawstring Bun (1B )- Synthetic Extensions at SHEIN.",14.2,11.01,"USD",TRUE,"Natural Black","12 Inch",0,"US","us.shein.com",6,"sb2408176552252542",41165721,0,"Beauty & Health","Synthetic Extensions","SHEIN",22.46
"10pcs Transparent Chocolate Bouquet DIY Packaging Materials Finished Flower Shop Materials Valentine's Day Supplies Chocolate Cup Tray","Free Returns ✓ Free Shipping✓. 10pcs Transparent Chocolate Bouquet DIY Packaging Materials Finished Flower Shop Materials Valentine's Day Supplies Chocolate Cup Tray- Other Party Supplies at SHEIN.",2.8,2.8,"USD",TRUE,"Transparent","Chocolate Cup Torus",0,"US","us.shein.com",10,"sl2407269621996558",39650485,0,"Toys & Games","Other Party Supplies","SHEIN",0
"1 Set,Automatic Watering System Indoor Drip Irrigation System With 10 Heads Plant Watering Unit,Yard And Garden Watering Can For Indoor Outdoor Plants 5.25Ft","Free Returns ✓ Free Shipping✓. 1 Set,Automatic Watering System Indoor Drip Irrigation System With 10 Heads Plant Watering Unit,Yard And Garden Watering Can For Indoor Outdoor Plants 5.25Ft- Watering Kits at SHEIN.",5.7,4.85,"USD",TRUE,"Blue","one-size",0,"US","us.shein.com",14,"sh2408067592793660",40314366,0,"Home & Living","Watering Kits","SHEIN",14.91
"1 Set Of 2 Pieces Mop And Bucket Set With New Separation Of Clean And Dirty Water Design, Household Rotating Mop, Slouchy Mop, Hands-Free Flat Sucker Mop, Suitable For Daily Use","Free Returns ✓ Free Shipping✓. 1 Set Of 2 Pieces Mop And Bucket Set With New Separation Of Clean And Dirty Water Design, Household Rotating Mop, Slouchy Mop, Hands-Free Flat Sucker Mop, Suitable For Daily Use- Mops and Mop Sets at SHEIN.",74.6,74.6,"USD",TRUE,"White","one-size",0,"US","us.shein.com",18,"sh2402184992552254",30166283,0,"Home & Living","Mops and Mop Sets","SHEIN",0
"1PC Selenite Crystal Pumpkin Ghost Head Carving - Natural Rock Crystal Halloween Decor, Home & Office Ornamental","Free Returns ✓ Free Shipping✓. 1PC Selenite Crystal Pumpkin Ghost Head Carving - Natural Rock Crystal Halloween Decor, Home & Office Ornamental- Crystal Shapes & Carvings at SHEIN.",6.9,3.45,"USD",TRUE,"Multicolor","Plaster Pumpkin Head",0,"US","us.shein.com",23,"sj2408084820876589",40540088,0,"Jewelry & Watches","Crystal Shapes & Carvings","SHEIN",50
"1set-Halloween Party Hanging Swirl Decorations, Bat  Ghost Pumpkin Black Cat Cards Hanging Swirl Party Supplies,Halloween Party Decorations Set For Outdoor Indoor Decor","Free Returns ✓ Free Shipping✓. 1set-Halloween Party Hanging Swirl Decorations, Bat  Ghost Pumpkin Black Cat Cards Hanging Swirl Party Supplies,Halloween Party Decorations Set For Outdoor Indoor Decor- Party Backdrops at SHEIN.",3.8,3.23,"USD",TRUE,"Multicolor","1set",0,"US","us.shein.com",5,"sh2405226617153653",39132284,0,"Home & Living","Party Backdrops","SHEIN",15
"20pcs Purple Disposable Napkins,Flower Shape Table Napkins For Weding Supplies, Party Favors, Hen Party Decorations Birthday And Restaurant","Free Returns ✓ Free Shipping✓. 20pcs Purple Disposable Napkins,Flower Shape Table Napkins For Weding Supplies, Party Favors, Hen Party Decorations Birthday And Restaurant- Disposable Napkins at SHEIN.",2.6,2.5,"USD",TRUE,"Purple","one-size",0,"US","us.shein.com",22,"sh2408159343875246",41061836,0,"Home & Living","Disposable Napkins","SHEIN",3.85
"14pcs WHite Hair Beads Accessories For Braids,Star Pearl Small Bear Design Hair Rings Decorations,Women Hair Accessories For Hair And Dreadlocks. Street","Free Returns ✓ Free Shipping✓. 14pcs WHite Hair Beads Accessories For Braids,Star Pearl Small Bear Design Hair Rings Decorations,Women Hair Accessories For Hair And Dreadlocks. Street- Hair Clips at SHEIN.",1.4,1.4,"USD",TRUE,"White","one-size",0,"US","us.shein.com",7,"sc2312121855201734",30317540,0,"Apparel Accessories","Hair Clips","SHEIN",0
"30pcs/Set Minimal Solid Color French Almond Flower Style Full Cover Short False Nails With 1pc Jelly Gel & 1pc Nail File, For Women & Girls Beauty Parties, Dates, Events","Free Returns ✓ Free Shipping✓. 30pcs/Set Minimal Solid Color French Almond Flower Style Full Cover Short False Nails With 1pc Jelly Gel & 1pc Nail File, For Women & Girls Beauty Parties, Dates, Events- Press On False Nails at SHEIN.",1.8,1.6,"USD",TRUE,"Multicolor","Almond",0,"US","us.shein.com",5,"sb2408080196781518",40598628,0,"Beauty & Health","Press On False Nails","SHEIN",11.11
"1 Set Halloween Scarecrow Pumpkin Home Bedroom Living Room Decor","Free Returns ✓ Free Shipping✓. 1 Set Halloween Scarecrow Pumpkin Home Bedroom Living Room Decor- Mirror Stickers at SHEIN.",3.4,2.72,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",6,"sh2408071514164404",40470942,0,"Home & Living","Mirror Stickers","SHEIN",20
"Unbeatablesale Hydro Air HA104320 Gunite Venturi Tee","Free Returns ✓ Free Shipping✓. Unbeatablesale Hydro Air HA104320 Gunite Venturi Tee- Swimming Pools at SHEIN.",24.32,24.32,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"st2407026421868114",37937822,0,"Sports & Outdoor","Swimming Pools","Unbeatablesale",0
"Jepeak Jepeak Pack Of 4 Rhombus Textured Throw Pillow Covers Cushion Cases, Burlap Linen Decorative Pillow Covers For Sofa Couch Bed Home Decor, 16x24 Inch","Free Returns ✓ Free Shipping✓. Jepeak Jepeak Pack Of 4 Rhombus Textured Throw Pillow Covers Cushion Cases, Burlap Linen Decorative Pillow Covers For Sofa Couch Bed Home Decor, 16x24 Inch- Cushion Cover at SHEIN.",36.4,26.2,"USD",TRUE,"Light Cyan","40*60",0,"US","us.shein.com",22,"sf2408163574278408",40915151,0,"Home Textile","Cushion Cover","Jepeak",28.02
"New Casual Solid Color One Shoulder Bag, Street Style Simple Tote Hand Carry Crossbody Square Bag","Free Returns ✓ Free Shipping✓. New Casual Solid Color One Shoulder Bag, Street Style Simple Tote Hand Carry Crossbody Square Bag- Women Top Handle Bags at SHEIN.",10.3,9.7,"USD",TRUE,"Black","one-size",0,"US","us.shein.com",10,"sg2302221363386887",41122801,0,"Bags & Luggage","Women Top Handle Bags","SHEIN",5.83
